Request id,Pickup point,Driver id,Status,Request timestamp.1,Request timestamp.2,Drop timestamp.1,Drop timestamp.2,Day Name,Hour,Slot
2240,City,9,Trip Completed,2016/07/12,18:20:00,2016/07/12,18:54:00,Tuesday,18,Evening
3072,Airport,9,Trip Completed,2016/07/13,8:04:57,2016/07/13,8:36:37,Wednesday,8,Morning
3459,Airport,9,Trip Completed,2016/07/13,17:03:30,2016/07/13,17:31:49,Wednesday,17,Evening
3774,Airport,9,Trip Completed,2016/07/13,20:41:24,2016/07/13,21:27:29,Wednesday,20,Evening
4023,City,9,Trip Completed,2016/07/13,23:58:41,2016/07/14,0:58:39,Wednesday,23,Night
4117,City,9,Trip Completed,2016/07/14,4:21:42,2016/07/14,5:07:07,Thursday,4,Early Morning
4880,Airport,9,Trip Completed,2016/07/14,17:58:46,2016/07/14,19:02:42,Thursday,17,Evening
5568,Airport,9,Trip Completed,2016/07/15,5:47:49,2016/07/15,6:25:49,Friday,5,Early Morning
5994,Airport,9,Trip Completed,2016/07/15,11:51:16,2016/07/15,12:32:12,Friday,11,Morning
1809,Airport,10,Trip Completed,2016/07/12,9:13:00,2016/07/12,10:01:00,Tuesday,9,Morning
2064,Airport,10,Trip Completed,2016/07/12,15:08:00,2016/07/12,16:14:00,Tuesday,15,Afternoon
3210,City,10,Trip Completed,2016/07/13,9:47:06,2016/07/13,10:52:37,Wednesday,9,Morning
4350,City,10,Trip Completed,2016/07/14,7:24:43,2016/07/14,8:22:09,Thursday,7,Early Morning
4713,City,10,Trip Completed,2016/07/14,13:31:24,2016/07/14,14:10:56,Thursday,13,Afternoon
5629,Airport,10,Trip Completed,2016/07/15,6:33:00,2016/07/15,7:19:53,Friday,6,Early Morning
6157,Airport,10,Trip Completed,2016/07/15,16:32:51,2016/07/15,17:44:44,Friday,16,Afternoon
2030,City,11,Trip Completed,2016/07/12,14:11:00,2016/07/12,15:02:00,Tuesday,14,Afternoon
3226,City,11,Trip Completed,2016/07/13,10:00:17,2016/07/13,11:02:52,Wednesday,10,Morning
3353,City,11,Trip Completed,2016/07/13,13:29:44,2016/07/13,14:09:00,Wednesday,13,Afternoon
4293,City,11,Trip Completed,2016/07/14,6:42:36,2016/07/14,7:12:41,Thursday,6,Early Morning
4936,City,11,Trip Completed,2016/07/14,18:22:17,2016/07/14,19:14:36,Thursday,18,Evening
5661,Airport,11,Trip Completed,2016/07/15,7:08:50,2016/07/15,7:59:00,Friday,7,Early Morning
5778,City,11,Trip Completed,2016/07/15,8:22:03,2016/07/15,9:13:04,Friday,8,Morning
6425,Airport,11,Trip Completed,2016/07/15,19:46:40,2016/07/15,20:26:51,Friday,19,Evening
45,Airport,12,Trip Completed,2016/07/11,3:17:00,2016/07/11,4:09:00,Monday,3,Mid Night
264,City,12,Trip Completed,2016/07/11,6:51:00,2016/07/11,7:40:00,Monday,6,Early Morning
1183,City,12,Trip Completed,2016/07/11,21:05:00,2016/07/11,21:38:00,Monday,21,Night
1536,Airport,12,Trip Completed,2016/07/12,5:59:00,2016/07/12,6:59:00,Tuesday,5,Early Morning
2437,City,12,Trip Completed,2016/07/12,20:18:00,2016/07/12,21:26:00,Tuesday,20,Evening
2641,Airport,12,Trip Completed,2016/07/12,22:28:00,2016/07/12,23:05:00,Tuesday,22,Night
4077,Airport,12,Trip Completed,2016/07/14,2:14:15,2016/07/14,3:13:09,Thursday,2,Mid Night
4610,City,12,Trip Completed,2016/07/14,10:35:14,2016/07/14,11:39:01,Thursday,10,Morning
5066,Airport,12,Trip Completed,2016/07/14,19:31:20,2016/07/14,20:14:03,Thursday,19,Evening
5666,Airport,12,Trip Completed,2016/07/15,7:04:55,2016/07/15,8:12:37,Friday,7,Early Morning
5923,City,12,Trip Completed,2016/07/15,10:07:49,2016/07/15,10:50:50,Friday,10,Morning
6367,City,12,Trip Completed,2016/07/15,19:04:46,2016/07/15,19:46:04,Friday,19,Evening
155,City,13,Trip Completed,2016/07/11,5:32:00,2016/07/11,6:28:00,Monday,5,Early Morning
310,Airport,13,Trip Completed,2016/07/11,7:24:00,2016/07/11,8:28:00,Monday,7,Early Morning
607,City,13,Trip Completed,2016/07/11,11:51:00,2016/07/11,12:42:00,Monday,11,Morning
1012,City,13,Trip Completed,2016/07/11,19:15:00,2016/07/11,19:57:00,Monday,19,Evening
1696,Airport,13,Trip Completed,2016/07/12,8:01:00,2016/07/12,8:42:00,Tuesday,8,Morning
3076,City,13,Trip Completed,2016/07/13,8:09:04,2016/07/13,9:12:19,Wednesday,8,Morning
4198,Airport,13,Trip Completed,2016/07/14,5:32:14,2016/07/14,6:45:32,Thursday,5,Early Morning
4627,City,13,Trip Completed,2016/07/14,11:13:19,2016/07/14,12:00:12,Thursday,11,Morning
5289,City,13,Trip Completed,2016/07/14,21:43:24,2016/07/14,22:24:13,Thursday,21,Night
5495,Airport,13,Trip Completed,2016/07/15,5:00:13,2016/07/15,6:02:27,Friday,5,Early Morning
6656,Airport,13,Trip Completed,2016/07/15,22:08:42,2016/07/15,22:41:18,Friday,22,Night
139,Airport,14,Trip Completed,2016/07/11,5:21:00,2016/07/11,6:09:00,Monday,5,Early Morning
215,City,14,Trip Completed,2016/07/11,6:15:00,2016/07/11,7:07:00,Monday,6,Early Morning
1816,City,14,Trip Completed,2016/07/12,9:24:00,2016/07/12,10:07:00,Tuesday,9,Morning
2505,Airport,14,Trip Completed,2016/07/12,21:03:00,2016/07/12,22:14:00,Tuesday,21,Night
3346,City,14,Trip Completed,2016/07/13,13:01:42,2016/07/13,13:55:59,Wednesday,13,Afternoon
5294,City,14,Trip Completed,2016/07/14,21:45:50,2016/07/14,22:16:40,Thursday,21,Night
6226,Airport,14,Trip Completed,2016/07/15,17:34:25,2016/07/15,18:33:13,Friday,17,Evening
6733,Airport,14,Trip Completed,2016/07/15,23:32:44,2016/07/16,0:37:46,Friday,23,Night
1027,Airport,15,Trip Completed,2016/07/11,19:18:00,2016/07/11,20:24:00,Monday,19,Evening
2675,Airport,15,Trip Completed,2016/07/12,23:43:00,2016/07/13,0:35:12,Tuesday,23,Night
3200,City,15,Trip Completed,2016/07/13,9:39:44,2016/07/13,10:30:58,Wednesday,9,Morning
3865,City,15,Trip Completed,2016/07/13,21:52:05,2016/07/13,22:21:15,Wednesday,21,Night
4468,City,15,Trip Completed,2016/07/14,8:42:46,2016/07/14,9:22:01,Thursday,8,Morning
5163,Airport,15,Trip Completed,2016/07/14,20:34:30,2016/07/14,21:05:18,Thursday,20,Evening
6009,City,15,Trip Completed,2016/07/15,12:22:35,2016/07/15,13:25:27,Friday,12,Afternoon
6448,Airport,15,Trip Completed,2016/07/15,20:02:54,2016/07/15,20:40:45,Friday,20,Evening
591,City,16,Trip Completed,2016/07/11,11:25:00,2016/07/11,12:31:00,Monday,11,Morning
709,City,16,Trip Completed,2016/07/11,14:16:00,2016/07/11,15:03:00,Monday,14,Afternoon
1167,Airport,16,Trip Completed,2016/07/11,20:50:00,2016/07/11,21:52:00,Monday,20,Evening
2661,Airport,16,Trip Completed,2016/07/12,23:23:00,2016/07/13,0:27:21,Tuesday,23,Night
2808,City,16,Trip Completed,2016/07/13,5:05:16,2016/07/13,5:56:11,Wednesday,5,Early Morning
3258,Airport,16,Trip Completed,2016/07/13,10:12:51,2016/07/13,10:45:28,Wednesday,10,Morning
3413,Airport,16,Trip Completed,2016/07/13,15:32:01,2016/07/13,16:45:44,Wednesday,15,Afternoon
3939,Airport,16,Trip Completed,2016/07/13,22:26:26,2016/07/13,22:55:54,Wednesday,22,Night
4125,City,16,Trip Completed,2016/07/14,4:37:11,2016/07/14,5:46:29,Thursday,4,Early Morning
4457,City,16,Trip Completed,2016/07/14,8:36:24,2016/07/14,9:19:20,Thursday,8,Morning
4728,City,16,Trip Completed,2016/07/14,14:04:13,2016/07/14,15:06:40,Thursday,14,Afternoon
5347,Airport,16,Trip Completed,2016/07/14,22:51:47,2016/07/14,23:53:42,Thursday,22,Night
6147,City,16,Trip Completed,2016/07/15,16:11:02,2016/07/15,17:30:08,Friday,16,Afternoon
6496,Airport,16,Trip Completed,2016/07/15,20:33:00,2016/07/15,21:32:49,Friday,20,Evening
634,City,17,Trip Completed,2016/07/11,12:25:00,2016/07/11,13:06:00,Monday,12,Afternoon
939,Airport,17,Trip Completed,2016/07/11,18:25:00,2016/07/11,19:26:00,Monday,18,Evening
2628,Airport,17,Trip Completed,2016/07/12,22:10:00,2016/07/12,23:25:00,Tuesday,22,Night
3021,City,17,Trip Completed,2016/07/13,7:33:20,2016/07/13,8:26:07,Wednesday,7,Early Morning
4743,City,17,Trip Completed,2016/07/14,14:54:16,2016/07/14,15:39:03,Thursday,14,Afternoon
4981,City,17,Trip Completed,2016/07/14,18:47:42,2016/07/14,19:43:44,Thursday,18,Evening
5367,Airport,17,Trip Completed,2016/07/14,23:35:34,2016/07/15,0:25:26,Thursday,23,Night
5471,Airport,17,Trip Completed,2016/07/15,4:48:57,2016/07/15,5:47:13,Friday,4,Early Morning
5988,Airport,17,Trip Completed,2016/07/15,11:48:32,2016/07/15,12:55:02,Friday,11,Morning
6477,Airport,17,Trip Completed,2016/07/15,20:21:26,2016/07/15,21:00:31,Friday,20,Evening
499,City,18,Trip Completed,2016/07/11,9:39:00,2016/07/11,10:16:00,Monday,9,Morning
1147,Airport,18,Trip Completed,2016/07/11,20:42:00,2016/07/11,21:18:00,Monday,20,Evening
1410,Airport,18,Trip Completed,2016/07/12,3:14:00,2016/07/12,4:27:00,Tuesday,3,Mid Night
1804,Airport,18,Trip Completed,2016/07/12,9:12:00,2016/07/12,9:57:00,Tuesday,9,Morning
1949,Airport,18,Trip Completed,2016/07/12,11:32:00,2016/07/12,12:13:00,Tuesday,11,Morning
2713,City,18,Trip Completed,2016/07/13,1:46:42,2016/07/13,2:37:08,Wednesday,1,Mid Night
2845,City,18,Trip Completed,2016/07/13,5:28:29,2016/07/13,6:10:40,Wednesday,5,Early Morning
3943,Airport,18,Trip Completed,2016/07/13,22:35:38,2016/07/13,23:33:20,Wednesday,22,Night
4792,City,18,Trip Completed,2016/07/14,16:47:15,2016/07/14,17:34:39,Thursday,16,Afternoon
5207,Airport,18,Trip Completed,2016/07/14,20:57:41,2016/07/14,21:56:21,Thursday,20,Evening
5890,City,18,Trip Completed,2016/07/15,9:43:57,2016/07/15,10:55:22,Friday,9,Morning
494,City,19,Trip Completed,2016/07/11,9:36:00,2016/07/11,10:02:00,Monday,9,Morning
1485,City,19,Trip Completed,2016/07/12,5:21:00,2016/07/12,6:35:00,Tuesday,5,Early Morning
2042,City,19,Trip Completed,2016/07/12,14:30:00,2016/07/12,15:09:00,Tuesday,14,Afternoon
2561,Airport,19,Trip Completed,2016/07/12,21:29:00,2016/07/12,22:44:00,Tuesday,21,Night
3813,Airport,19,Trip Completed,2016/07/13,21:06:57,2016/07/13,21:46:24,Wednesday,21,Night
4260,Airport,19,Trip Completed,2016/07/14,6:11:51,2016/07/14,6:59:46,Thursday,6,Early Morning
4395,City,19,Trip Completed,2016/07/14,8:00:15,2016/07/14,8:54:39,Thursday,8,Morning
5919,City,19,Trip Completed,2016/07/15,10:03:42,2016/07/15,10:59:27,Friday,10,Morning
6002,Airport,19,Trip Completed,2016/07/15,12:04:15,2016/07/15,12:53:36,Friday,12,Afternoon
468,City,20,Trip Completed,2016/07/11,9:20:00,2016/07/11,10:05:00,Monday,9,Morning
693,Airport,20,Trip Completed,2016/07/11,13:51:00,2016/07/11,15:01:00,Monday,13,Afternoon
1178,City,20,Trip Completed,2016/07/11,21:05:00,2016/07/11,22:06:00,Monday,21,Night
2103,City,20,Trip Completed,2016/07/12,16:08:00,2016/07/12,17:18:00,Tuesday,16,Afternoon
2292,Airport,20,Trip Completed,2016/07/12,18:46:00,2016/07/12,19:23:00,Tuesday,18,Evening
3339,City,20,Trip Completed,2016/07/13,12:40:58,2016/07/13,13:30:26,Wednesday,12,Afternoon
3694,City,20,Trip Completed,2016/07/13,19:33:19,2016/07/13,20:35:08,Wednesday,19,Evening
4469,City,20,Trip Completed,2016/07/14,8:45:13,2016/07/14,9:48:08,Thursday,8,Morning
6432,City,20,Trip Completed,2016/07/15,19:50:57,2016/07/15,20:30:05,Friday,19,Evening
1895,City,21,Trip Completed,2016/07/12,10:20:00,2016/07/12,10:52:00,Tuesday,10,Morning
1981,Airport,21,Trip Completed,2016/07/12,12:23:00,2016/07/12,12:56:00,Tuesday,12,Afternoon
3744,Airport,21,Trip Completed,2016/07/13,20:28:11,2016/07/13,21:22:42,Wednesday,20,Evening
4433,Airport,21,Trip Completed,2016/07/14,8:26:32,2016/07/14,9:12:02,Thursday,8,Morning
6039,Airport,21,Trip Completed,2016/07/15,13:11:04,2016/07/15,13:38:01,Friday,13,Afternoon
6543,City,21,Trip Completed,2016/07/15,20:54:20,2016/07/15,22:12:36,Friday,20,Evening
110,City,22,Trip Completed,2016/07/11,5:05:00,2016/07/11,6:06:00,Monday,5,Early Morning
362,City,22,Trip Completed,2016/07/11,8:01:00,2016/07/11,9:18:00,Monday,8,Morning
666,Airport,22,Trip Completed,2016/07/11,13:02:00,2016/07/11,13:45:00,Monday,13,Afternoon
926,City,22,Trip Completed,2016/07/11,18:28:00,2016/07/11,19:34:00,Monday,18,Evening
1180,Airport,22,Trip Completed,2016/07/11,21:01:00,2016/07/11,22:14:00,Monday,21,Night
1900,City,22,Trip Completed,2016/07/12,10:32:00,2016/07/12,11:42:00,Tuesday,10,Morning
2506,City,22,Trip Completed,2016/07/12,21:01:00,2016/07/12,21:38:00,Tuesday,21,Night
3064,City,22,Trip Completed,2016/07/13,8:02:03,2016/07/13,8:58:46,Wednesday,8,Morning
3327,Airport,22,Trip Completed,2016/07/13,12:24:41,2016/07/13,13:23:39,Wednesday,12,Afternoon
3601,City,22,Trip Completed,2016/07/13,18:39:00,2016/07/13,19:29:07,Wednesday,18,Evening
4768,Airport,22,Trip Completed,2016/07/14,15:39:24,2016/07/14,16:49:03,Thursday,15,Afternoon
5142,City,22,Trip Completed,2016/07/14,20:17:51,2016/07/14,20:48:58,Thursday,20,Evening
5366,Airport,22,Trip Completed,2016/07/14,23:27:22,2016/07/15,0:19:50,Thursday,23,Night
5575,City,22,Trip Completed,2016/07/15,5:53:55,2016/07/15,6:50:02,Friday,5,Early Morning
5902,City,22,Trip Completed,2016/07/15,9:52:57,2016/07/15,10:37:05,Friday,9,Morning
6694,Airport,22,Trip Completed,2016/07/15,22:45:44,2016/07/15,23:17:53,Friday,22,Night
523,Airport,23,Trip Completed,2016/07/11,9:48:00,2016/07/11,10:37:00,Monday,9,Morning
747,City,23,Trip Completed,2016/07/11,15:53:00,2016/07/11,16:43:00,Monday,15,Afternoon
1371,Airport,23,Trip Completed,2016/07/12,0:22:00,2016/07/12,1:33:00,Tuesday,0,Mid Night
1553,City,23,Trip Completed,2016/07/12,6:09:00,2016/07/12,7:09:00,Tuesday,6,Early Morning
1692,Airport,23,Trip Completed,2016/07/12,7:52:00,2016/07/12,9:01:00,Tuesday,7,Early Morning
2114,City,23,Trip Completed,2016/07/12,16:36:00,2016/07/12,17:21:00,Tuesday,16,Afternoon
2742,City,23,Trip Completed,2016/07/13,3:07:37,2016/07/13,3:51:35,Wednesday,3,Mid Night
4273,City,23,Trip Completed,2016/07/14,6:17:01,2016/07/14,7:02:28,Thursday,6,Early Morning
4668,City,23,Trip Completed,2016/07/14,12:25:02,2016/07/14,13:34:58,Thursday,12,Afternoon
5425,City,23,Trip Completed,2016/07/15,2:23:56,2016/07/15,3:08:35,Friday,2,Mid Night
5488,City,23,Trip Completed,2016/07/15,4:53:42,2016/07/15,6:00:16,Friday,4,Early Morning
5781,City,23,Trip Completed,2016/07/15,8:35:47,2016/07/15,9:42:27,Friday,8,Morning
5966,Airport,23,Trip Completed,2016/07/15,10:54:27,2016/07/15,11:58:44,Friday,10,Morning
6122,City,23,Trip Completed,2016/07/15,15:26:06,2016/07/15,16:29:40,Friday,15,Afternoon
357,Airport,24,Trip Completed,2016/07/11,8:00:00,2016/07/11,9:08:00,Monday,8,Morning
1068,City,24,Trip Completed,2016/07/11,19:52:00,2016/07/11,20:48:00,Monday,19,Evening
2689,Airport,24,Trip Completed,2016/07/13,0:34:03,2016/07/13,1:49:08,Wednesday,0,Mid Night
2791,City,24,Trip Completed,2016/07/13,4:56:20,2016/07/13,5:33:20,Wednesday,4,Early Morning
3321,City,24,Trip Completed,2016/07/13,12:23:02,2016/07/13,13:25:14,Wednesday,12,Afternoon
3423,Airport,24,Trip Completed,2016/07/13,15:52:07,2016/07/13,16:50:46,Wednesday,15,Afternoon
3761,Airport,24,Trip Completed,2016/07/13,20:35:24,2016/07/13,21:39:02,Wednesday,20,Evening
4140,City,24,Trip Completed,2016/07/14,4:48:09,2016/07/14,6:05:01,Thursday,4,Early Morning
4656,City,24,Trip Completed,2016/07/14,12:06:27,2016/07/14,12:49:14,Thursday,12,Afternoon
4931,Airport,24,Trip Completed,2016/07/14,18:21:52,2016/07/14,18:54:03,Thursday,18,Evening
5268,City,24,Trip Completed,2016/07/14,21:29:35,2016/07/14,22:30:11,Thursday,21,Night
5811,City,24,Trip Completed,2016/07/15,8:46:30,2016/07/15,9:26:33,Friday,8,Morning
6139,Airport,24,Trip Completed,2016/07/15,15:45:16,2016/07/15,16:40:41,Friday,15,Afternoon
6333,Airport,24,Trip Completed,2016/07/15,18:41:22,2016/07/15,19:53:29,Friday,18,Evening
773,City,25,Trip Completed,2016/07/11,16:23:00,2016/07/11,17:21:00,Monday,16,Afternoon
1123,City,25,Trip Completed,2016/07/11,20:20:00,2016/07/11,21:18:00,Monday,20,Evening
2667,Airport,25,Trip Completed,2016/07/12,23:35:00,2016/07/13,0:40:52,Tuesday,23,Night
2833,City,25,Trip Completed,2016/07/13,5:27:26,2016/07/13,6:19:18,Wednesday,5,Early Morning
3396,City,25,Trip Completed,2016/07/13,14:59:08,2016/07/13,15:57:24,Wednesday,14,Afternoon
3590,City,25,Trip Completed,2016/07/13,18:31:29,2016/07/13,19:31:56,Wednesday,18,Evening
3762,City,25,Trip Completed,2016/07/13,20:38:10,2016/07/13,21:21:24,Wednesday,20,Evening
4566,City,25,Trip Completed,2016/07/14,9:48:56,2016/07/14,10:22:52,Thursday,9,Morning
4862,City,25,Trip Completed,2016/07/14,17:37:44,2016/07/14,18:41:40,Thursday,17,Evening
5564,Airport,25,Trip Completed,2016/07/15,5:41:11,2016/07/15,6:53:22,Friday,5,Early Morning
6187,City,25,Trip Completed,2016/07/15,17:11:08,2016/07/15,18:08:11,Friday,17,Evening
6642,City,25,Trip Completed,2016/07/15,22:07:14,2016/07/15,22:54:02,Friday,22,Night
322,City,26,Trip Completed,2016/07/11,7:31:00,2016/07/11,8:10:00,Monday,7,Early Morning
793,City,26,Trip Completed,2016/07/11,17:04:00,2016/07/11,18:06:00,Monday,17,Evening
898,Airport,26,Trip Completed,2016/07/11,18:14:00,2016/07/11,19:09:00,Monday,18,Evening
1258,City,26,Trip Completed,2016/07/11,21:51:00,2016/07/11,23:00:00,Monday,21,Night
2832,City,26,Trip Completed,2016/07/13,5:20:16,2016/07/13,6:14:07,Wednesday,5,Early Morning
3139,City,26,Trip Completed,2016/07/13,8:54:04,2016/07/13,9:22:42,Wednesday,8,Morning
3438,City,26,Trip Completed,2016/07/13,16:12:53,2016/07/13,17:13:44,Wednesday,16,Afternoon
3966,Airport,26,Trip Completed,2016/07/13,22:50:42,2016/07/13,23:27:43,Wednesday,22,Night
6401,Airport,26,Trip Completed,2016/07/15,19:33:00,2016/07/15,20:16:57,Friday,19,Evening
